search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
TP53, TRP53	TP53	Definite	TP53	YONDELIS	""	NCI	16888811
TP53, TRP53	TP53	Definite	TP53	PD-0325901	""	JAX-CKB	26272063
TP53, TRP53	TP53	Definite	TP53	METHIMAZOLE	""	NCI	7790147
TP53, TRP53	TP53	Definite	TP53	IBRUTINIB	""	JAX-CKB	26563132
TP53, TRP53	TP53	Definite	TP53	CAPMATINIB	""	JAX-CKB	25971938
TP53, TRP53	TP53	Definite	TP53	DOCETAXEL	""	JAX-CKB|CIViC	21399868|22425996
TP53, TRP53	TP53	Definite	TP53	PHENETHYLISOTHIOCYANATE	""	DTC	21241062
TP53, TRP53	TP53	Definite	TP53	CAPECITABINE	""	CIViC	24957073
TP53, TRP53	TP53	Definite	TP53	ABT 737	""	JAX-CKB	21468686
TP53, TRP53	TP53	Definite	TP53	CERALASERTIB	""	JAX-CKB|CGI	26563132|28062704
TP53, TRP53	TP53	Definite	TP53	METHOTREXATE	""	DTC|CIViC	17363498
TP53, TRP53	TP53	Definite	TP53	IRINOTECAN	""	JAX-CKB	25567130
TP53, TRP53	TP53	Definite	TP53	GARLIC	""	NCI	16351512
TP53, TRP53	TP53	Definite	TP53	PEMBROLIZUMAB	""	JAX-CKB	28039262
TP53, TRP53	TP53	Definite	TP53	CHEMBL1241268	""	DTC	16862141
TP53, TRP53	TP53	Definite	TP53	SAR-405838	""	JAX-CKB|TTD	27550999|27765850|25145672
TP53, TRP53	TP53	Definite	TP53	PF-00477736	""	JAX-CKB	22713237
TP53, TRP53	TP53	Definite	TP53	DOXIL	""	JAX-CKB	16243804
TP53, TRP53	TP53	Definite	TP53	AZD-6482	""	JAX-CKB	26563132
TP53, TRP53	TP53	Definite	TP53	BEVACIZUMAB	""	JAX-CKB	23670029|27466356|17145525
TP53, TRP53	TP53	Definite	TP53	TRIFLUOPERAZINE	""	DTC|NCI	12415616
TP53, TRP53	TP53	Definite	TP53	CLOFIBRATE	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	TANESPIMYCIN	""	JAX-CKB	26009011
TP53, TRP53	TP53	Definite	TP53	SELUMETINIB	""	JAX-CKB|CIViC	26343583|26272063|22425996
TP53, TRP53	TP53	Definite	TP53	TIRAPAZAMINE	""	NCI	9647614
TP53, TRP53	TP53	Definite	TP53	PATULIN	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	CYCLOPHOSPHAMIDE	""	JAX-CKB|PharmGKB	16243804|17388661|26438783
TP53, TRP53	TP53	Definite	TP53	SAPANISERTIB	""	JAX-CKB	26272063|25261369
TP53, TRP53	TP53	Definite	TP53	CAPIVASERTIB	""	JAX-CKB	26910118
TP53, TRP53	TP53	Definite	TP53	CARBOPLATIN	""	JAX-CKB|CIViC	26494859|25567130|25658463|27998224|11595686
TP53, TRP53	TP53	Definite	TP53	GANETESPIB	""	JAX-CKB	26009011
TP53, TRP53	TP53	Definite	TP53	CAMPTOSAR	""	JAX-CKB	18618574
TP53, TRP53	TP53	Definite	TP53	DS-7423	""	JAX-CKB	24504419
TP53, TRP53	TP53	Definite	TP53	ONC-201	""	JAX-CKB	26474387
TP53, TRP53	TP53	Definite	TP53	SELICICLIB	""	DTC|JAX-CKB	21417417|26826118|22862161
TP53, TRP53	TP53	Definite	TP53	SERTRALINE	""	DTC	16680159
TP53, TRP53	TP53	Definite	TP53	DIETHYLSTILBESTROL	""	NCI	15545218
TP53, TRP53	TP53	Definite	TP53	PF-04217903	""	JAX-CKB	27659046
TP53, TRP53	TP53	Definite	TP53	ETOPOSIDE	""	JAX-CKB|CIViC	14514923|25964101|24065105
TP53, TRP53	TP53	Definite	TP53	SERDEMETAN	""	JAX-CKB	21831953
TP53, TRP53	TP53	Definite	TP53	ALPELISIB	""	JAX-CKB	27659046
TP53, TRP53	TP53	Definite	TP53	LORLATINIB	""	JAX-CKB	28285684
TP53, TRP53	TP53	Definite	TP53	RG-7602	""	JAX-CKB	27815358
TP53, TRP53	TP53	Definite	TP53	VESNARINONE	""	NCI	7750082
TP53, TRP53	TP53	Definite	TP53	RO-5045337	""	JAX-CKB|CIViC	26459177
TP53, TRP53	TP53	Definite	TP53	GEDATOLISIB	""	JAX-CKB	23980093|21325073
TP53, TRP53	TP53	Definite	TP53	ENALAPRIL	""	NCI	16900775
TP53, TRP53	TP53	Definite	TP53	ADAVOSERTIB	""	JAX-CKB|CGI	21992793|27601554|27196784|21799033|21389100|19887545|28652249|23520471|22713237|27998224
TP53, TRP53	TP53	Definite	TP53	METHYLPREDNISOLONE	""	NCI	16684279
TP53, TRP53	TP53	Definite	TP53	DEMCIZUMAB	""	JAX-CKB	26855149
TP53, TRP53	TP53	Definite	TP53	GOSSYPOL	""	DTC|NCI	16020667
TP53, TRP53	TP53	Definite	TP53	PANITUMUMAB	""	JAX-CKB	28514312
TP53, TRP53	TP53	Definite	TP53	BORTEZOMIB	inhibitor	TALC|CIViC	28679691
TP53, TRP53	TP53	Definite	TP53	CHEMBL582473	""	DTC	""
